Rinitials,Cinitials,Codedate,LSOA,IMGid,IMGdate,ADid,ASSETid,Long,Lat,ADtype,ADsize,ADprodtype,ADprod,ADbrand,Brandad,Admanagement,Price£,Pricesourcelink,Unit,Portion,Totalwt,Wtsource,Nutritionsource,Nutsourcelink,Fatdensity,Satfatdensity,Sugardensity,Sodiumdensity,Ekcaldensity,Fibredensity,Proteindensity,FVN,NPMscore,NPMstatus,ADcompliance
IW,IW,17/05/2023,E01011597,IMG_4664.JPG,11/05/2023,CF_GLMR_08_03,CF_GLMR_08,,,4,3,5,Advertising space,Engage Outdoor Media ,1,Engage Outdoor Media,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4665.JPG,11/05/2023,CF_GLMR_08_04,CF_GLMR_08,,,4,3,5,Eurovision,BBC,0,Engage Outdoor Media,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4666.JPG,11/05/2023,CF_GLMR_08_05,CF_GLMR_08,,,4,3,1,Basmati Boost Elephant Rice,Elephant Rice,0,Engage Outdoor Media,9.99,https://www.qualityfoodsonline.com/products/elephant-basmati-boost-rice-5kg,g,180,5000,https://elephantatta.com/products/elephant-rice-basmati-boost/,1,https://elephantatta.com/products/elephant-rice-basmati-boost/,0,0,0,0,344,1,9.6,0,-2,0,0
IW,IW,17/05/2023,E01011597,IMG_4667.JPG,11/05/2023,CF_GLMR_08_06,CF_GLMR_08,,,4,3,1,"Chakki Gold Elephant Atta, wholemeal wheat flour",Elephant Atta,0,Engage Outdoor Media,3.5,https://www.sainsburys.co.uk/gol-ui/product/elephant-atta-chakki-gold-15kg?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=pprwaqrtx&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqneIs8ksHfQpe7NFsvWdV5HtQZMdZoOd3oW4yb8gIw9oAK0RMO1zOb4aAl_cEALw_wcB&gclsrc=aw.ds,g,,1500,https://www.sainsburys.co.uk/gol-ui/product/elephant-atta-chakki-gold-15kg?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=pprwaqrtx&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqneIs8ksHfQpe7NFsvWdV5HtQZMdZoOd3oW4yb8gIw9oAK0RMO1zOb4aAl_cEALw_wcB&gclsrc=aw.ds,1,https://elephantatta.com/products/chakki-gold/,2.4,0.5,0,12,351,8.6,13,0,-6,0,0
IW,IW,17/05/2023,E01011597,IMG_4670.JPG,11/05/2023,CF_GLMR_09_01,CF_GLMR_09,,,1,2,1,BIG Tasty with Bacon,McDonald's,0,Clear Channel,6.09,https://mcdonalds-menu.co.uk/,g,310,310,SL image Big Tasty with Bacon = 310,2,https://www.mcdonalds.com/gb/en-gb/product/big-tasty-with-bacon.html,15.81,6.13,3.23,477.42,272.58,1.42,16.13,18.9,13,1,1
IW,IW,17/05/2023,E01011597,IMG_4671.JPG,11/05/2023,CF_GLMR_10_01,CF_GLMR_10,,,12,1,5,Tiles & Bathrooms,Al-Murad,1,Leeds City Council,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4682.JPG,11/05/2023,CF_GLMR_11_01,CF_GLMR_11,,,8,3,1,McNuggets,McDonald's,0,Leeds City Council,4.29,https://mcdonalds-menu.co.uk/,g,105,105,"FPS book, pg 58 McDonald's 6 McNuggets",2,https://www.mcdonalds.com/gb/en-gb/product/chicken-mcnuggets-6-pieces.html,12.38,1.43,0.57,217.14,248.57,1.33,14.29,0,0,0,0
IW,IW,17/05/2023,E01011597,IMG_4685.JPG,11/05/2023,CF_GLMR_12_01,CF_GLMR_12,,,1,2,3,Strongbow ultra dark fruit cider,Strongbow,0,Clear Channel,4.75,https://www.tesco.com/groceries/en-GB/products/311275711,ml,330,1320,https://www.tesco.com/groceries/en-GB/products/311275711,3,https://www.tesco.com/groceries/en-GB/products/311275711,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_E4687.JPG,11/05/2023,CF_GLMR_13_01,CF_GLMR_13,,,1,2,5,Broadband,TalkTalk,0,Clear Channel,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4651.JPG,11/05/2023,CF_GLMR_14_01,CF_GLMR_14,,,14,2,1,Basmati Rice,Slimming world,1,,,,,180 (medium),,"FPS book, rice pg 74",4,CoFID 11-858,0.7,0.16,0,4,117,0.6,2.8,0,0,0,0
IW,IW,17/05/2023,E01011597,IMG_4651.JPG,11/05/2023,CF_GLMR_14_01,CF_GLMR_14,,,14,2,1,Slimming world chicken tikka curry,Slimming world,1,,4.25,https://www.iceland.co.uk/p/slimming-world-chicken-tikka-masala-500g/57996.html,g,,500,https://www.iceland.co.uk/p/slimming-world-chicken-tikka-masala-500g/57996.html,3,https://www.iceland.co.uk/p/slimming-world-chicken-tikka-masala-500g/57996.html,1.6,0.4,2.5,320,72,1.5,10.7,0,-3,0,0
IW,IW,17/05/2023,E01011597,IMG_4677.JPG,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,,,14,2,1,Chips (4 x regular),KFC,0,,19.99,advert,g,130,130,"FPS book, pg 94 kentucky regular chips",2,https://www.kfc.co.uk/nutrition-allergens?close,8.46,1,0.15,153.85,192.31,0,2.69,0,2,0,0
IW,IW,17/05/2023,E01011597,IMG_4677.JPG,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,,,14,2,2,Pepsi max (2L),KFC,0,,19.99,advert,ml,,2000,https://www.kfc.co.uk/order-online/choose-your-food?refid=77065039&modeType=ClickAndCollect,2,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqnce1pETBmFoRRby8g3_KezS0CGOKRV7KuRmQD-Vn8Iagb1jFri9lKkaAncUEALw_wcB&gclsrc=aw.ds,0,0,0,0,1,0,0,0,0,0,0
IW,IW,17/05/2023,E01011597,IMG_4677.JPG,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,,,14,2,1,Ketchup ,KFC,0,,19.99,advert,g,30,30,product packacing,2,https://www.kfc.co.uk/nutrition-allergens?close,0.65,0.32,23.54,567.74,129.03,0,1.29,0,12,1,1
IW,IW,17/05/2023,E01011597,IMG_4677.JPG,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,,,14,2,1,8 mini chicken fillets,KFC,0,,19.99,advert,g,55,440,https://www.kfc.co.uk/order-online/choose-your-food?refid=77065039&modeType=ClickAndCollect,2,https://www.kfc.co.uk/nutrition-allergens?close,10.18,1.09,0.55,625.45,236.36,0,25.09,0,4,1,1
IW,IW,17/05/2023,E01011597,IMG_4677.JPG,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,,,14,2,1,Buttermilk mayo dip,KFC,0,,19.99,advert,g,30,30,product packacing,2,https://www.kfc.co.uk/nutrition-allergens?close,33.23,2.9,7.74,516.13,354.84,0,0.97,0,12,1,1
IW,IW,17/05/2023,E01011597,IMG_4677.JPG,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,,,14,2,1,Spicy supercharger mayo,KFC,0,,19.99,advert,g,30,30,product packacing,2,https://www.kfc.co.uk/nutrition-allergens?close,48.39,3.87,7.74,554.84,483.87,0,3.23,0,16,1,1
IW,IW,17/05/2023,E01011597,IMG_4677.JPG,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,,,14,2,1,BBQ dip,KFC,0,,19.99,advert,g,30,30,product packacing,2,https://www.kfc.co.uk/nutrition-allergens?close,0.65,0.32,32.26,333.48,161.29,0,1.29,0,12,1,1
IW,IW,17/05/2023,E01011597,IMG_4677.JPG,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,,,14,2,1,Popcorn chicken (large),KFC,0,,19.99,advert,g,,137.34,https://www.myfitnesspal.com/food/calories/medium-popcorn-chicken-254g-from-kfc-ca-143339056,2,https://www.kfc.co.uk/nutrition-allergens?close,19.15,1.97,0.22,727.21,338.58,0,20.82,0,13,1,1
IW,IW,17/05/2023,E01011597,IMG_4677.JPG,11/05/2023,CF_GLMR_15_01,CF_GLMR_15,,,14,2,1,Corn on the cob (x2),KFC,0,,19.99,,g,,,,4,CoFID 13-508,1.1,0.15,1.5,0,39,3,2.1,100,-9,0,0
IW,IW,17/05/2023,E01011597,IMG_4678.JPG,11/05/2023,CF_GLMR_16_01,CF_GLMR_16,,,14,2,1,Buffalo twister wrap,KFC,0,,1.98,advert,g,220,220,SL image mayo twister wrap,2,https://www.kfc.co.uk/nutrition-allergens?close,8,1.23,0.91,274.55,213.64,0,8.6,20.46,1,0,0
IW,IW,17/05/2023,E01011597,IMG_4686.JPG,11/05/2023,CF_GLMR_17_01,CF_GLMR_17,,,11,1,5,Honeysuckle cottage ,Honeysuckle cottage ,1,Leeds City Council,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4688.JPG,11/05/2023,CF_GLMR_18_01,CF_GLMR_18,,,6,2,5,"Hair, scalp and beauty clinic",Rora,1,,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4679.JPG,11/05/2023,CF_GLMR_19_01,CF_GLMR_19,,,14,2,5,Join leasure leagues,leasure leagues,1,,,,,,,,,,,,,,,,,,,,
IW,IW,18/05/2023,E01011605,IMG_4694.JPG,11/05/2023,PY_WMHL_01_01,PY_WMHL_01,,,9,1,5,Clean air Leeds,Leeds City Council,0,Leeds City Council,,,,,,,,,,,,,,,,,,,
VJ,VJ,18/05/2023,E01011427,20230518_130912.jpg,18/05/2023,GH_EGSW_01_01,GH_EGSW_01,,,12,1,5,Waste management,The Waste Team,1,Leeds City Council,,,,,,,,,,,,,,,,,,,
VJ,VJ,18/05/2023,E01011427,20230518_130944.jpg,18/05/2023,GH_EGSW_02_01,GH_EGSW_02,,,12,1,5,Tiles & Bathrooms,Al-Murad,1,Leeds City Council,,,,,,,,,,,,,,,,,,,
VJ,VJ,18/05/2023,E01011427,20230518_131217.jpg,18/05/2023,GH_EGSW_03_01,GH_EGSW_03,,,1,2,1,McDonald's BIG Tasty,McDonald's,0,Clear Channel,5.49,https://mcdonalds-menu.co.uk/,g,290,290,SL image Big Tasty with Bacon = 310 - 20g (1 rasher of streaky bacon FSA portion book pg 54),2,https://www.mcdonalds.com/gb/en-gb/product/big-tasty.html,15.86,6.21,3.45,455,275,1.52,15.52,2,13,1,1
VJ,VJ,18/05/2023,E01011427,20230518_131239.jpg,18/05/2023,GH_EGSW_04_01,GH_EGSW_04,,,1,2,2,Pepsi Max (can),Pepsi,0,Clear Channel,0.95,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqnce1pETBmFoRRby8g3_KezS0CGOKRV7KuRmQD-Vn8Iagb1jFri9lKkaAncUEALw_wcB&gclsrc=aw.ds,ml,330,330,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqnce1pETBmFoRRby8g3_KezS0CGOKRV7KuRmQD-Vn8Iagb1jFri9lKkaAncUEALw_wcB&gclsrc=aw.ds,3,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqnce1pETBmFoRRby8g3_KezS0CGOKRV7KuRmQD-Vn8Iagb1jFri9lKkaAncUEALw_wcB&gclsrc=aw.ds,0,0,0,0,1,0,0,0,0,0,0
VJ,VJ,18/05/2023,E01011427,20230518_131239.jpg,18/05/2023,GH_EGSW_04_01,GH_EGSW_04,,,1,2,1,Pizza,Pepsi,0,Clear Channel,2.5,https://www.sainsburys.co.uk/gol-ui/SearchResults/cheese%20and%20tomato%20pizza,g,200,410,"FPS book, pg 25 9-10 inch pizza",4,CoFID 11-936,9.8,4.12,3.9,380,272,2.9,12.2,0,8,1,1
VJ,VJ,18/05/2023,E01011427,20230518_131826.jpg,18/05/2023,GH_EGSW_05_01,GH_EGSW_05,,,12,1,5,Fly Tipping,Leeds City Council,1,Leeds City Council,,,,,,,,,,,,,,,,,,,
IW,IW,23/05/2023,E01011662,IMG_4984.jpg,18/05/2023,KS_FMTB_01_01,KS_FMTB_01,,,3,3,5,Getaway Girls,Getaway Girls,1,Leeds City Council,,,,,,,,,,,,,,,,,,,
IW,IW,23/05/2023,E01011662,IMG_4985.jpg,18/05/2023,KS_FMTB_01_01,KS_FMTB_01,,,3,3,5,Home construction ,Keepmoat Homes,1,Leeds City Council,,,,,,,,,,,,,,,,,,,
IW,IW,23/05/2023,E01011662,IMG_4986.jpg,18/05/2023,KS_FMTB_02_01,KS_FMTB_02,,,3,3,5,Home construction ,Strata,1,Strata,,,,,,,,,,,,,,,,,,,
IW,IW,23/05/2023,E01011662,IMG_4989.jpg,18/05/2023,KS_FMTB_03_01,KS_FMTB_03,,,8,3,5,Home construction ,Keepmoat Homes,1,Keepmoat Homes,,,,,,,,,,,,,,,,,,,
IW,IW,23/05/2023,E01011287,IMG_5123.JPG,19/05/2023,AY_SGVS_01_01,AY_SGVS_01,,,1,2,2,Pepsi Max (can),Pepsi,0,Clear Channel,0.95,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqnce1pETBmFoRRby8g3_KezS0CGOKRV7KuRmQD-Vn8Iagb1jFri9lKkaAncUEALw_wcB&gclsrc=aw.ds,ml,330,330,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqnce1pETBmFoRRby8g3_KezS0CGOKRV7KuRmQD-Vn8Iagb1jFri9lKkaAncUEALw_wcB&gclsrc=aw.ds,3,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwmZejBhC_ARIsAGhCqnce1pETBmFoRRby8g3_KezS0CGOKRV7KuRmQD-Vn8Iagb1jFri9lKkaAncUEALw_wcB&gclsrc=aw.ds,0,0,0,0,1,0,0,0,0,0,0
IW,IW,23/05/2023,E01011287,IMG_5123.JPG,19/05/2023,AY_SGVS_01_01,AY_SGVS_01,,,1,2,1,Pizza,Pepsi,0,Clear Channel,2.5,https://www.sainsburys.co.uk/gol-ui/SearchResults/cheese%20and%20tomato%20pizza,g,200,410,"FPS book, pg 25 9-10 inch pizza",4,CoFID 11-936,9.8,4.12,3.9,380,272,2.9,12.2,0,8,1,1
IW,IW,23/05/2023,E01011287,IMG_5124.JPG,19/05/2023,AY_SGVS_02_01,AY_SGVS_02,,,1,2,1,Forrero Rocher Confetteria Raffaello Icecream,Forrero Rocher,0,Clear Channel,5,https://www.tesco.com/groceries/en-GB/products/313515644,g,47,188,https://www.tesco.com/groceries/en-GB/products/313515644,3,https://www.tesco.com/groceries/en-GB/products/313515644,24.8,20.4,26.9,79.2,362,0,5.2,0,19,1,1
IW,IW,23/05/2023,E01011287,IMG_5124.JPG,19/05/2023,AY_SGVS_02_01,AY_SGVS_02,,,1,2,1,Forrero Rocher Classic Icecream,Forrero Rocher,0,Clear Channel,5,https://www.tesco.com/groceries/en-GB/products/312828235?sc_cmp=ppc*GHS+-+Grocery+-+New*MPX_PMAX_All_OT_All+Products_Online+Budget_1009392**312828235*&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-f02aQxcJbs2vZGmvN8Fgq3oaRdqIbPkCTgtmjHqBBs3IOWBweBNMaAiV2EALw_wcB&gclsrc=aw.ds,ml,70,280,https://www.tesco.com/groceries/en-GB/products/312828235?sc_cmp=ppc*GHS+-+Grocery+-+New*MPX_PMAX_All_OT_All+Products_Online+Budget_1009392**312828235*&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-f02aQxcJbs2vZGmvN8Fgq3oaRdqIbPkCTgtmjHqBBs3IOWBweBNMaAiV2EALw_wcB&gclsrc=aw.ds,3,https://www.tesco.com/groceries/en-GB/products/312828235?sc_cmp=ppc*GHS+-+Grocery+-+New*MPX_PMAX_All_OT_All+Products_Online+Budget_1009392**312828235*&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-f02aQxcJbs2vZGmvN8Fgq3oaRdqIbPkCTgtmjHqBBs3IOWBweBNMaAiV2EALw_wcB&gclsrc=aw.ds,27.8,14,26.2,70.8,390,0,5,0,17,1,1
IW,IW,23/05/2023,E01011287,IMG_5125.JPG,19/05/2023,AY_SGVS_03_01,AY_SGVS_03,,,1,2,2,Pepsi Max (can),Pepsi,0,Clear Channel,0.95,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF_W-UY4BU8TsXK2TQNYz81ir7OwDc3ZukLj-qLXyvPSUQ1wCM3PPRkaArQxEALw_wcB&gclsrc=aw.ds,ml,330,330,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF_W-UY4BU8TsXK2TQNYz81ir7OwDc3ZukLj-qLXyvPSUQ1wCM3PPRkaArQxEALw_wcB&gclsrc=aw.ds,3,https://www.sainsburys.co.uk/gol-ui/product/pepsi-max-330ml?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=ptarpaiwr&istBid=t&&cmpid=cpc&utm_source=Google&utm_medium=cpc&utm_campaign=15424330555&utm_content=shopping&utm_term=%257bsku%257d&utm_custom1=129852755749&utm_custom2=759-449-0952&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF_W-UY4BU8TsXK2TQNYz81ir7OwDc3ZukLj-qLXyvPSUQ1wCM3PPRkaArQxEALw_wcB&gclsrc=aw.ds,0,0,0,0,0.4,0,0,0,0,0,0
IW,IW,23/05/2023,E01011287,IMG_5125.JPG,19/05/2023,AY_SGVS_03_01,AY_SGVS_03,,,1,2,1,Pizza,Pepsi,0,Clear Channel,2.5,https://www.sainsburys.co.uk/gol-ui/SearchResults/cheese%20and%20tomato%20pizza,g,200,410,"FPS book, pg 25 9-10 inch pizza",4,CoFID 11-936,9.8,4.12,3.9,380,272,2.9,12.2,0,8,1,1
IW,IW,23/05/2023,E01011287,IMG_5126.JPG,19/05/2023,AY_SGVS_04_01,AY_SGVS_04,,,1,2,1,McDonald's bacon sandwich,McDonald's,0,Clear Channel,3.39,McDonald's app,g,174,174,"FPS book, pg 14 bap, pg 54 bacon (x2), pg 83 ketchup sachet",2,https://www.mcdonalds.com/gb/en-gb/product/bacon-roll.html,5.29,1.61,4.25,505.75,190.8,1.26,12.07,0,2,0,0
IW,IW,23/05/2023,E01011287,IMG_5127.JPG,19/05/2023,AY_SGVS_05_01,AY_SGVS_05,,,9,1,5,Leeds International Festival of Ideas 2023,Leeds International Festival,0,City Ads,,,,,,,,,,,,,,,,,,,
IW,IW,23/05/2023,E01011287,IMG_5128.JPG,19/05/2023,AY_SGVS_06_01,AY_SGVS_06,,,9,1,5,Leeds International Festival of Ideas 2023,Leeds International Festival,0,City Ads,,,,,,,,,,,,,,,,,,,
IW,IW,23/05/2023,E01011287,IMG_5130.JPG,19/05/2023,AY_SGVS_07_01,AY_SGVS_07,,,1,2,2,Lucozade Pink Lemonade zero,Lucozade,0,Global,1.7,https://www.tesco.com/groceries/en-GB/products/292215645?sc_cmp=ppc*GHS+-+Grocery+-+New*MPX_PMAX_All_OT_Top+Offers_Online+Budget_1009392**292215645*&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-t2X6e9Gk2X8CTPEnOoAehs-E1kpANDvzfggabThQqo9L1DRKgWE4aAhXVEALw_wcB&gclsrc=aw.ds,ml,500,500,https://www.tesco.com/groceries/en-GB/products/292215645?sc_cmp=ppc*GHS+-+Grocery+-+New*MPX_PMAX_All_OT_Top+Offers_Online+Budget_1009392**292215645*&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-t2X6e9Gk2X8CTPEnOoAehs-E1kpANDvzfggabThQqo9L1DRKgWE4aAhXVEALw_wcB&gclsrc=aw.ds,3,https://www.tesco.com/groceries/en-GB/products/292215645?sc_cmp=ppc*GHS+-+Grocery+-+New*MPX_PMAX_All_OT_Top+Offers_Online+Budget_1009392**292215645*&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-t2X6e9Gk2X8CTPEnOoAehs-E1kpANDvzfggabThQqo9L1DRKgWE4aAhXVEALw_wcB&gclsrc=aw.ds,0,0,0.1,16,7,0,0,0,0,0,0
